127.0.0.1 - - [29/Jul/2023:15:17:43 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:17:45 +0530] "GET /Project1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:17:45 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:17:51 +0530] "GET /Project1/session HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:18:02 +0530] "GET /Project1/session HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:18:07 +0530] "GET /Project1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:18:12 +0530] "GET /Project1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:19:08 +0530] "GET /Project1/Day3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:19:17 +0530] "GET /Project1/session HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:19:34 +0530] "GET /Project1/session HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:19:36 +0530] "GET /Project1/session HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:19:37 +0530] "GET /Project1/session HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:19:37 +0530] "GET /Project1/session HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:20:11 +0530] "GET /Project1/session HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:20:15 +0530] "GET /Project1/session HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:20:17 +0530] "GET /Project1/session HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:20:17 +0530] "GET /Project1/session HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:20:18 +0530] "GET /Project1/session HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:20:18 +0530] "GET /Project1/session HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:20:19 +0530] "GET /Project1/session HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:20:19 +0530] "GET /Project1/session HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:20:19 +0530] "GET /Project1/session HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [29/Jul/2023:15:20:20 +0530] "GET /Project1/session HTTP/1.1" 200 293
