127.0.0.1 - - [09/Aug/2023:20:22:33 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:22:36 +0530] "GET /Project2/ HTTP/1.1" 500 2323
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:22:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:24:04 +0530] "GET /Project2/ HTTP/1.1" 500 2323
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:26:19 +0530] "GET /Project2/ HTTP/1.1" 500 2323
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:29:19 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:33:31 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:33:37 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:33:39 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:33:58 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:34:01 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:37:02 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:37:03 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:37:04 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:39:38 +0530] "GET /Project2/ HTTP/1.1" 500 2633
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:40:26 +0530] "GET /Project2/ HTTP/1.1" 500 2633
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:41:11 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:41:15 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:41:16 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:41:34 +0530] "GET /Project2/ HTTP/1.1" 500 2633
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:41:36 +0530] "GET /Project2/ HTTP/1.1" 500 2633
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:41:37 +0530] "GET /Project2/ HTTP/1.1" 500 2633
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:41:37 +0530] "GET /Project2/ HTTP/1.1" 500 2633
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:42:40 +0530] "GET /Project2/ HTTP/1.1" 200 5179
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:42:43 +0530] "GET /Project2/createCustomer.jsp HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:46:27 +0530] "GET /Project2/ HTTP/1.1" 200 5179
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:46:30 +0530] "GET /Project2/createCustomer.jsp HTTP/1.1" 500 3263
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:47:02 +0530] "GET /Project2/createCustomer.jsp HTTP/1.1" 200 2829
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:47:20 +0530] "POST /Project2/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:47:20 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 5491
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:47:32 +0530] "GET /Project2/createCustomer.jsp HTTP/1.1" 200 2829
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:47:35 +0530] "POST /Project2/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:47:35 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 5774
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:47:38 +0530] "GET /Project2/createCustomer.jsp HTTP/1.1" 200 2829
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:47:47 +0530] "POST /Project2/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:47:47 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 6086
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:49:24 +0530] "GET /Project2/createCustomer.jsp HTTP/1.1" 200 2829
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:49:26 +0530] "POST /Project2/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:49:26 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 6369
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:49:30 +0530] "GET /Project2/createCustomer.jsp HTTP/1.1" 200 2829
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:49:35 +0530] "POST /Project2/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Aug/2023:20:49:35 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 6652
