127.0.0.1 - - [01/Oct/2023:13:26:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:26:46 +0530] "GET /Project2/ HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:26:47 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:26:52 +0530] "GET /Project2/createCustomer.jsp HTTP/1.1" 200 2829
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:26:59 +0530] "POST /Project2/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:26:59 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:27:04 +0530] "GET /Project2/editCustomer.jsp?uid=20 HTTP/1.1" 200 2986
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:27:10 +0530] "GET /Project2/deleteCustomer.jsp?uid=20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:27:10 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 2784
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:27:14 +0530] "GET /Project2/createCustomer.jsp HTTP/1.1" 200 2829
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:27:59 +0530] "GET /Project1/ HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:27:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:28:02 +0530] "GET /Project1/Day3.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:28:06 +0530] "POST /Project1/day3 HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:28:08 +0530] "POST /Project1/day3 HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:28:28 +0530] "GET /Project1/Form.jsp HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:28:58 +0530] "GET /Project1/Formdetails.jsp HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:29:08 +0530] "GET /Project1/Formdetail.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:41:57 +0530] "GET /Project2/ HTTP/1.1" 200 2784
0:0:0:0:0:0:0:1 - - [01/Oct/2023:13:42:07 +0530] "GET /Project2/form2 HTTP/1.1" 404 769
